"","Challenge.diff","Challenge.lwr","Challenge.upr","Challenge.p.adj"
"WT challenge-N3A challenge",10740.6,9133.7755857504,12347.4244142496,4.13491463291393e-12
"T8A challenge-N3A challenge",175675.6,174068.77558575,177282.42441425,2.53130849614536e-14
"T8A challenge-WT challenge",164935,163328.17558575,166541.82441425,2.53130849614536e-14
