"","Challenge.diff","Challenge.lwr","Challenge.upr","Challenge.p.adj"
"WT challenge-T8A challenge",7.38749999999999,NA,NA,NA
"N3A challenge-T8A challenge",107.125,NA,NA,NA
"N3A challenge-WT challenge",99.7375,NA,NA,NA
