"","Challenge.diff","Challenge.lwr","Challenge.upr","Challenge.p.adj"
"N3A challenge-T8A challenge",192.725,NA,NA,NA
"WT challenge-T8A challenge",2016.3416665,NA,NA,NA
"WT challenge-N3A challenge",1823.6166665,NA,NA,NA
