"","Challenge.diff","Challenge.lwr","Challenge.upr","Challenge.p.adj"
"N3A challenge-T8A challenge",142041.9541665,138829.046832776,145254.861500223,6.4170890823334e-14
"WT challenge-T8A challenge",491984.1208335,488771.213499776,495197.028167223,6.4170890823334e-14
"WT challenge-N3A challenge",349942.166667,346729.259333277,353155.074000724,6.4170890823334e-14
