Challenge,Slope
WT challenge,15158.8333335
WT challenge,15228.8333335
WT challenge,13713.3333335
T8A challenge,76.95
T8A challenge,146.95
T8A challenge,-1368.55
N3A challenge,28049.3333335
N3A challenge,28119.3333335
N3A challenge,26603.8333335
