"","Experiment.diff","Experiment.lwr","Experiment.upr","Experiment.p.adj"
"N3A-WT",21454.6666666666,-912418.360185194,955327.693518527,0.99781618288475
"T8A-WT",953048,144290.234837221,1761805.76516278,0.0224051592624045
"T8A-N3A",931593.333333333,-2279.69351852743,1865466.36018519,0.0505503267054994
