"","Experiment.diff","Experiment.lwr","Experiment.upr","Experiment.p.adj"
"N3A-T8A",28325.5,-76130.3097944871,132781.309794487,0.754655082174174
"WT-T8A",87050.5,-7238.72337308471,181339.723373085,0.0714383505273574
"WT-N3A",58725,-41787.6498387791,159237.649838779,0.300029246385911
