"","Experiment.diff","Experiment.lwr","Experiment.upr","Experiment.p.adj"
"WT-N3A",21400.1333333333,-1418738.45717152,1461538.72383819,0.999085662464317
"T8A-N3A",1314063.33333333,-126075.257171519,2754201.92383819,0.0738824773773954
"T8A-WT",1292663.2,45466.5956524829,2539859.80434752,0.0424486068111742
