"","Experiment.diff","Experiment.lwr","Experiment.upr","Experiment.p.adj"
"WT-T8A",624323.533333334,-3219275.46317073,4467922.5298374,0.889604675340618
"N3A-T8A",2668036.86666667,-1175562.1298374,6511635.86317074,0.178358766478663
"N3A-WT",2043713.33333333,-2253560.9838832,6340987.65054987,0.404942404705805
