"","Experiment.diff","Experiment.lwr","Experiment.upr","Experiment.p.adj"
"N3A-T8A",671919.083333334,-3145477.45891073,4489315.6255774,0.871968237789911
"WT-T8A",848271.25,-2685951.19761179,4382493.69761179,0.778033649274815
"WT-N3A",176352.166666666,-3641044.3755774,3993748.70891073,0.990450722428645
