"","Experiment.diff","Experiment.lwr","Experiment.upr","Experiment.p.adj"
"WT-N3A",519283.233333333,-2076479.7769181,3115046.24358476,0.838556184416438
"T8A-N3A",1410008.83333333,-1185754.1769181,4005771.84358476,0.319083464464359
"T8A-WT",890725.600000001,-1512483.96913688,3293935.16913688,0.563455329626832
