"","Experiment.diff","Experiment.lwr","Experiment.upr","Experiment.p.adj"
"WT-N3A",5345.44444444444,-32508.7421010156,43199.6309899045,0.9297469084454
"T8A-N3A",37316.6666666667,-1866.13895124743,76499.4722845807,0.0632029572475932
"T8A-WT",31971.2222222222,3356.14688452662,60586.2975599178,0.0276238588856431
