"","Experiment.diff","Experiment.lwr","Experiment.upr","Experiment.p.adj"
"N3A-WT",16203.4666666667,-665959.688779166,698366.622112499,0.997665745686189
"T8A-WT",323356.8,-267413.822141844,914127.422141844,0.331450332774114
"T8A-N3A",307153.333333333,-375009.822112499,989316.488779166,0.461118676277766
