Primary,Slope
WT,-62.4
T8A,-9988.333333333334
T8A,-10010.0
T8A,-10191.666666666666
T8A,-10325.0
T8A,-9225.0
T8A,-10426.333333333334
T8A,-9955.0
N3A,-321.1666666666667
