Primary,Slope
WT,-0.056883856223001746
WT,-0.061405774472794675
WT,-0.044919859670496456
WT,-0.03763002841044152
T8A,-0.06100284333336628
T8A,-0.03986877939812367
T8A,-0.05575869574413841
T8A,-0.035602989104761625
N3A,-0.017535922693206838
N3A,-0.037165807468916005
N3A,-0.00956044916336684
