Primary,Slope
WT,-0.05166926274959739
WT,-0.049929522254851214
WT,-0.04601628611261477
WT,-0.03535941312320696
T8A,-0.04780132162002214
T8A,-0.044793919526015816
T8A,-0.05949910091747338
T8A,-0.04483872242037915
N3A,-0.035320500515821106
N3A,-0.05195418840150546
N3A,-0.05737034319040489
