Primary,Slope
WT,-222.51666666666668
WT,-121.5
WT,43.0
WT,389.6666666666667
WT,-111.33333333333333
T8A,-5808.333333333333
T8A,-5611.666666666667
T8A,-5839.166666666667
T8A,-5949.0
T8A,-5528.333333333333
T8A,-5815.0
