Primary,Slope
WT,-209.0
WT,-205.66666666666666
WT,-168.16666666666666
WT,-149.16666666666666
T8A,4.610416666666667
T8A,68.19375
T8A,21.19375
T8A,78.19375
N3A,-78.26111116666667
