Primary,Slope
WT,159.4366666666666
WT,-1159.5633333333333
WT,-1216.3966666666668
WT,-1433.43
WT,-945.73
WT,-380.7300000000001
WT,-697.8966666666668
WT,-468.8966666666667
T8A,-15766.666666666666
T8A,-15305.333333333334
T8A,-16331.833333333334
T8A,-16001.666666666666
T8A,-13962.0
T8A,-16989.166666666668
T8A,-15146.166666666666
N3A,-1959.8333333333333
N3A,-1294.1666666666667
N3A,-1162.3333333333333
