Primary,Slope
WT,46.91
WT,30.41
WT,-7.8566666666666665
T8A,-575.5
T8A,-434.0
T8A,-164.0
T8A,-516.5
N3A,199.27777783333332
N3A,25.777777833333328
N3A,1142.6111111666667
