"","Primary.diff","Primary.lwr","Primary.upr","Primary.p.adj"
"T8A-N3A",107.401388833333,-383.089852905015,597.892630571682,0.810572503097542
"WT-N3A",315.323888833333,-175.167352905015,805.815130571682,0.218643719455387
"WT-T8A",207.9225,-246.184150363761,662.029150363761,0.429734081259571
