"","Primary.diff","Primary.lwr","Primary.upr","Primary.p.adj"
"T8A-N3A",1215.92063492063,-1506.99194571581,3938.83321555708,0.493922447215397
"WT-N3A",1513.49861111111,-1157.87153119811,4184.86875342033,0.331705638610154
"WT-T8A",297.577976190476,-1744.60645928686,2339.76241166781,0.924463491458299
