"","Primary.diff","Primary.lwr","Primary.upr","Primary.p.adj"
"T8A-N3A",11410.7000000556,10674.5192368503,12146.8807632608,3.05270364542309e-10
"WT-N3A",11864.3466667222,11128.165903517,12600.5274299274,1.95064076002893e-10
"WT-T8A",453.646666666665,-227.924280974628,1135.21761430796,0.199908233049964
