"","Primary.diff","Primary.lwr","Primary.upr","Primary.p.adj"
"WT-T8A",698.008333333333,655.960093300664,740.056573366003,5.232751644213e-07
"N3A-T8A",977.727777833333,935.679537800664,1019.776017866,5.13742751340196e-07
"N3A-WT",279.7194445,231.166319096377,328.272569903623,1.94583853044827e-05
