Mouse ,Tissue,Cell Count ,Infection ,Sample:,Lymphocytes,Singlets,Live Cells,B220F480Neg,CD8+,CD8+CD45+,CD8p_Norm_Freq,CD8p_Norm_Num,CD8p_M6ITotal_Freq,CD8p_M6ITotal_Num,CD8p_M6VTotal_Freq,CD8p_M6VTotal_Num,CD8p_WTTotal_Freq,CD8p_WTTotal_Num,M6I neg,M6V Neg,WT Neg,CD8p_TriplePos_Freq,CD8p_TriplePos_Num,CD8p_M6IM6VDP_Freq,CD8p_M6IM6VDP_Num,CD8p_M6IWTDP_Freq,CD8p_M6IWTDP_Num,CD8p_M6ISP_Freq,CD8p_M6ISP_Num,CD8p_M6VWTDP_Freq,CD8p_M6VWTDP_Num,CD8p_M6VSP_Freq,CD8p_M6VSP_Num,CD8p_WTSP_Freq,CD8p_WTSP_Num,TripleNeg,TripleNeg_Num
116,Spleen ,1.03E+08,N3AWT,MMW_M1_S_MMW_029.fcs,78.8,93.3,95,58.9,43.5,64.7,38.1083,2.74E+07,0.66,1.81E+05,0.26,7.13E+04,35.3,9.68E+06,99.3,99.7,64.7,0.021,5.76E+03,7.06E-03,1.94E+03,0.32,8.77E+04,0.3,8.22E+04,0.23,6.31E+04,7.06E-03,1.94E+03,34.7,9.51E+06,64.4,1.77E+07
118,Lungs,3.30E+07,N3AWT,MMW_M2_L_MMW_026.fcs,36.4,90.8,92.5,94.7,73.1,9.28,8.78816,8.87E+05,32,2.84E+05,0.24,2.13E+03,33,2.93E+05,68,99.8,67,0.12,1.06E+03,0.024,2.13E+02,10.8,9.58E+04,21.1,1.87E+05,0.073,6.47E+02,0.024,2.13E+02,22,1.95E+05,45.8,4.06E+05
118,Spleen ,1.32E+08,N3AWT,MMW_M2_S_MMW_030.fcs,77.2,94.6,95.2,62.9,31.9,71.2,44.7848,4.11E+07,0.45,1.85E+05,0.097,3.99E+04,37.9,1.56E+07,99.5,99.9,62.1,0.048,1.97E+04,0.04,1.64E+04,0.22,9.04E+04,0.14,5.75E+04,0,0.00E+00,8.04E-03,3.30E+03,37.6,1.55E+07,62,2.55E+07
119,Lungs,2.66E+07,N3AWT,MMW_M3_L_MMW_027.fcs,59.5,90.6,94.5,92.1,72.2,10,9.21,1.25E+06,35,4.37E+05,1.41,1.76E+04,34.8,4.34E+05,65,98.6,65.2,0.61,7.61E+03,0.071,8.86E+02,12.1,1.51E+05,22.2,2.77E+05,0.73,9.11E+03,0,0.00E+00,21.3,2.66E+05,43,5.37E+05
119,Spleen ,5.90E+07,N3AWT,MMW_M3_S_MMW_031.fcs,79.3,93.9,95.6,52.6,41.7,55.7,29.2982,1.23E+07,0.67,8.24E+04,0.86,1.06E+05,37.3,4.59E+06,99.3,99.1,62.7,0.084,1.03E+04,0.047,5.78E+03,0.27,3.32E+04,0.26,3.20E+04,0.71,8.74E+04,0.019,2.34E+03,36.2,4.45E+06,62.4,7.68E+06
115,Lungs,3.24E+07,N3AT8A,MMW_M1L MMW_030.fcs,52.3,91.2,86.5,87.3,64.7,9.87,8.61651,1.15E+06,16.6,1.91E+05,0.2,2.30E+03,0.71,8.18E+03,83.4,99.8,99.3,0,0.00E+00,0.045,5.18E+02,0.18,2.07E+03,16.4,1.89E+05,0.091,1.05E+03,0.068,7.83E+02,0.43,4.95E+03,82.8,9.54E+05
115,Spleen ,6.25E+07,N3AT8A,MMW_M1S MMW_034.fcs,56.5,98,98.1,41.9,40.2,38.9,16.2991,5.53E+06,1.03,5.70E+04,0.31,1.72E+04,0.87,4.81E+04,99,99.7,99.1,0.073,4.04E+03,0.073,4.04E+03,0.029,1.60E+03,0.85,4.70E+04,0.088,4.87E+03,0.073,4.04E+03,0.67,3.71E+04,98.1,5.43E+06
111,BAL,7.60E+05,N3AT8A,MMW_M2B MMW_038.fcs,25.7,92.4,83.8,82.5,54.9,6.34,5.2305,7.91E+03,0.65,5.14E+01,0,0.00E+00,2.28,1.80E+02,99.3,100,97.7,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.65,5.14E+01,0,0.00E+00,0,0.00E+00,2.28,1.80E+02,97.1,7.68E+03
111,Lungs,3.76E+07,N3AT8A,MMW_M2L MMW_031.fcs,58.4,92.6,89.3,82,59.6,3.56,2.9192,5.30E+05,18,9.54E+04,0.13,6.89E+02,2.3,1.22E+04,82,99.9,97.7,0,0.00E+00,0.066,3.50E+02,0.66,3.50E+03,17.3,9.17E+04,0,0.00E+00,0.066,3.50E+02,1.64,8.69E+03,80.3,4.26E+05
111,Spleen ,6.06E+07,N3AT8A,MMW_M2S MMW_035.fcs,65.3,94,98.4,48.4,37.8,22.2,10.7448,3.93E+06,0.95,3.74E+04,0.22,8.65E+03,2.59,1.02E+05,99,99.8,97.4,0.028,1.10E+03,0.083,3.26E+03,0.1,3.93E+03,0.74,2.91E+04,0.037,1.46E+03,0.074,2.91E+03,2.42,9.52E+04,96.5,3.80E+06
