Experiment,Cells
WT,3216530.0
WT,21857.6
WT,1899906.0
WT,100586.0
T8A,3144700.0
T8A,3121140.0
T8A,886312.0
T8A,1649630.0
N3A,515660.0
N3A,521810.0
N3A,1333840.0
