Experiment,Cells
WT,1925800.0
WT,1310.0
WT,526000.0
T8A,29240.0
T8A,64900.0
T8A,23549.0
T8A,72190.0
T8A,25220.0
N3A,7148420.0
N3A,23620.0
N3A,783600.0
