Experiment,Cells
WT,5190.0
WT,99300.0
WT,4140.0
WT,2043.0
T8A,1630.0
T8A,0.0
T8A,0.0
T8A,2680.0
N3A,7892000.0
N3A,12775600.0
N3A,598730.0
