Experiment,Cells
WT,45950.0
WT,47170.0
WT,264210.0
WT,9490.0
WT,297580.0
WT,28100.0
T8A,108610.0
T8A,9160.0
T8A,6320.0
T8A,18900.0
T8A,0.0
N3A,9767.0
N3A,30430.0
N3A,43410.0
N3A,6960.0
