Experiment,Cells
WT,292810.0
WT,91760.0
WT,93960.0
WT,13100.0
WT,25170.0
WT,27478.0
T8A,66100.0
T8A,159800.0
T8A,126900.0
T8A,53000.0
T8A,184900.0
N3A,28844.0
N3A,49760.0
N3A,115020.0
N3A,182910.0
