Experiment,Cells
WT,1745570.0
WT,1310.0
WT,283200.0
T8A,45390.0
T8A,69100.0
T8A,70969.0
T8A,39790.0
T8A,36600.0
N3A,6829420.0
N3A,493300.0
N3A,838500.0
