Mouse ,Cell Count ,Tissue,Infection,Sample:,Lymphocytes,Singlets,Live Cells,F480 B220 neg,CD8p_Freq,CD8p_Norm_Freq,CD8p_Num,CD8p_M6ITotal_Freq,CD8p_M6ITotal_Num,CD8p_M6VTotal_Freq,CD8p_M6VTotal_Num,CD8p_WTTotal_Freq,CD8p_WTTotal_Num,CD8p_TriplePos_Freq,CD8p_TriplePos_Num,CD8p_M6IM6VDP_Freq,CD8p_M6IM6VDP_Num,CD8p_WTM6IDP_Freq ,CD8p_WTM6IDP_Num,CD8p_WTM6IDP_Num,CD8p_WTM6VDP_Freq,CD8p_WTSP_Freq,CD8p_WTSP_Num,CD8p_M6ISP_Freq,CD8p_M6ISP_Num,CD8p_M6VSP_Freq,CD8p_M6VSP_Num,,,,,,,,,,,,,,,,,,,,
178,4.05E+07,Lungs,N3A Challenge,MMW_L_MMW_M_004_027.fcs,49.1,89.1,60.6,88.9,13.8,12.2682,1.32E+06,2.48,3.27E+04,0.44,5.80E+03,1.51,1.99E+04,0.41,5.40E+03,0,0.00E+00,0.031,4.09E+02,0,0.00E+00,1.07,1.41E+04,0.031,4.09E+02,2.04,2.69E+04,,,,,,,,,,,,,,,,,,,,
179,2.53E+07,Lungs,N3A Challenge,MMW_L_MMW_M_005_028.fcs,71.9,90.2,71.5,89.7,10,8.97,1.05E+06,0.83,8.73E+03,0.051,5.37E+02,0.34,3.58E+03,0,0.00E+00,0.017,1.79E+02,0,0.00E+00,0,0.00E+00,0.34,3.58E+03,0.034,3.58E+02,0.82,8.63E+03,,,,,,,,,,,,,,,,,,,,
175,8.79E+07,Spleen ,N3A Challenge,MMW_S_MMW_M_001_031.fcs,85,96.5,90,50.7,31.1,15.7677,1.02E+07,1.08,1.10E+05,0.09,9.21E+03,0.67,6.85E+04,0,0.00E+00,0.067,6.85E+03,0.067,6.85E+03,0,0.00E+00,0.6,6.14E+04,0.022,2.25E+03,0.94,9.62E+04,,,,,,,,,,,,,,,,,,,,
176,1.05E+08,Spleen ,N3A Challenge,MMW_S_MMW_M_002_032.fcs,81.3,95.4,89.1,42.4,25.3,10.7272,7.79E+06,0.38,2.96E+04,0.038,2.96E+03,1.52,1.18E+05,0.038,2.96E+03,0,0.00E+00,0.038,2.96E+03,0,0.00E+00,1.44,1.12E+05,0,0.00E+00,0.3,2.34E+04,,,,,,,,,,,,,,,,,,,,
177,5.90E+07,Spleen ,N3A Challenge,MMW_S_MMW_M_003_033.fcs,83.8,95.7,90,49.8,26.8,13.3464,5.68E+06,0.04,2.27E+03,0.06,3.41E+03,1.46,8.29E+04,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,1.46,8.29E+04,0.06,3.41E+03,0.04,2.27E+03,,,,,,,,,,,,,,,,,,,,
178,7.48E+07,Spleen ,N3A Challenge,MMW_S_MMW_M_004_034.fcs,83.4,95.1,89.1,53.1,23.1,12.2661,6.48E+06,0.53,3.43E+04,0.44,2.85E+04,1.67,1.08E+05,0.33,2.14E+04,0.022,1.43E+03,0.088,5.70E+03,0,0.00E+00,1.25,8.10E+04,0.088,5.70E+03,0.088,5.70E+03,,,,,,,,,,,,,,,,,,,,
179,7.96E+07,Spleen ,N3A Challenge,MMW_S_MMW_M_005_035.fcs,86.1,95.3,88.3,43.6,20.2,8.8072,5.08E+06,0.4,2.03E+04,0.2,1.02E+04,0.56,2.85E+04,0,0.00E+00,0,0.00E+00,0.08,4.07E+03,0,0.00E+00,0.48,2.44E+04,0.2,1.02E+04,0.32,1.63E+04,,,,,,,,,,,,,,,,,,,,
182,7.78E+06,BAL,M6V Challenge,MMW_MMW_BAL_M_001_026.fcs,92.8,87.7,87.3,75,1.1,0.825,4.56E+04,0.32,1.46E+02,3.19,1.45E+03,3.19,1.45E+03,0,0.00E+00,0,0.00E+00,0,0.00E+00,1.6,7.30E+02,1.6,7.30E+02,0.32,1.46E+02,1.6,7.30E+02,,,,,,,,,,,,,,,,,,,,
187,1.32E+06,BAL,M6V Challenge,MMW_MMW_BAL_M_003_027.fcs,69.6,86.4,75.5,68.3,3.64,2.48612,1.49E+04,0,0.00E+00,8.96,1.33E+03,2.77,4.13E+02,0,0.00E+00,0,0.00E+00,0,0.00E+00,2.28,3.40E+02,0.49,7.30E+01,0,0.00E+00,6.68,9.95E+02,,,,,,,,,,,,,,,,,,,,
182,1.84E+06,Lungs,M6V Challenge,MMW_MMW_L_M_001_022.fcs,55.8,76.2,76,90.9,9.54,8.67186,5.16E+04,0.1,5.16E+01,1.46,7.54E+02,0.2,1.03E+02,0,0.00E+00,0.1,5.16E+01,0,0.00E+00,0.034,1.76E+01,0.17,8.78E+01,0,0.00E+00,1.32,6.82E+02,,,,,,,,,,,,,,,,,,,,
184,2.22E+06,Lungs,M6V Challenge,MMW_MMW_L_M_002_023.fcs,62.6,84,73.6,91.6,15.5,14.198,1.22E+05,0.44,5.37E+02,2.02,2.46E+03,0.12,1.46E+02,0,0.00E+00,0.29,3.54E+02,0,0.00E+00,0.051,6.22E+01,0.068,8.30E+01,0.15,1.83E+02,1.68,2.05E+03,,,,,,,,,,,,,,,,,,,,
187,1.97E+07,Lungs,M6V Challenge,MMW_MMW_L_M_003_024.fcs,54.9,79.6,70.2,90.8,15.8,14.3464,8.67E+05,0.31,2.69E+03,18.2,1.58E+05,9.74,8.44E+04,0.022,1.91E+02,0,0.00E+00,0,0.00E+00,9.1,7.89E+04,0.61,5.29E+03,0.28,2.43E+03,9.08,7.87E+04,,,,,,,,,,,,,,,,,,,,
193,1.48E+07,Lungs,M6V Challenge,MMW_MMW_L_M_004_025.fcs,66.3,82.5,74.8,81.9,10.7,8.7633,5.31E+05,0.54,2.87E+03,5.74,3.05E+04,5.35,2.84E+04,0.072,3.82E+02,0.036,1.91E+02,0.036,1.91E+02,3.05,1.62E+04,2.19,1.16E+04,0.39,2.07E+03,2.58,1.37E+04,,,,,,,,,,,,,,,,,,,,
182,4.76E+07,Spleen ,M6V Challenge,MMW_MMW_S_M_001_028.fcs,82.7,90.2,89,52.1,26.3,13.7023,4.33E+06,0.34,1.47E+04,1.85,8.01E+04,0.5,2.17E+04,0.053,2.29E+03,0.079,3.42E+03,0.079,3.42E+03,0.053,2.29E+03,0.32,1.39E+04,0.13,5.63E+03,1.67,7.23E+04,,,,,,,,,,,,,,,,,,,,
184,6.91E+07,Spleen ,M6V Challenge,MMW_MMW_S_M_002_029.fcs,88,91.8,89.8,51.9,35.8,18.5802,9.32E+06,0.37,3.45E+04,3.75,3.49E+05,1.9,1.77E+05,0,0.00E+00,0.15,1.40E+04,0.037,3.45E+03,1.42,1.32E+05,0.44,4.10E+04,0.18,1.68E+04,2.19,2.04E+05,,,,,,,,,,,,,,,,,,,,
