Mouse ,Cell Count ,Tissue,T8A Primary,Sample:,Lymphocytes,Singlets,Live Cells,F480 B220 Negative ,CD8p_Freq,CD8p_Norm_Freq,CD8p_Num,CD8p_N3ATotal_Freq,CD8p_N3ATotal_Num,CD8p_T8ATotal_Freq,CD8p_T8ATotal_Num,CD8p_WTTotal_Freq,CD8p_WTTotal_Num,CD8p_TriplePos_Freq,CD8p_TriplePos_Num,CD8p_N3AT8ADP_Freq ,CD8p_N3AT8ADP_Num,CD8p_WTN3ADP_Freq ,CD8p_WTN3ADP_Num,CD8p_WTT8ADP_Freq,CD8p_WTT8ADP_Num,CD8p_WTSP_Freq,CD8p_WTSP_Num,CD8p_N3ASP_Freq,CD8p_N3ASP_Num,CD8p_T8ASP_Freq,CD8p_T8ASP_Num
15,8.62E+07,Spleen ,T8A Memory,T8ATetramerStainMem_M1S_NTW_012.fcs,76.9,91.2,88.8,50.5,33.2,16.766,9.00E+06,0.37,3.33E+04,1.16,1.04E+05,1.06,9.54E+04,0,0.00E+00,0,0.00E+00,0.18,1.62E+04,0.31,2.79E+04,0.57,5.13E+04,0.19,1.71E+04,0.85,7.65E+04
25,8.56E+07,Spleen ,T8A Memory,T8ATetramerStainMem_M2S_NTW_013.fcs,71.3,92.7,86.1,48.7,1.15,0.56005,2.73E+05,0,0.00E+00,1.62,4.42E+03,1.08,2.95E+03,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,1.08,2.95E+03,0,0.00E+00,1.62,4.42E+03
39,6.58E+07,Spleen ,T8A Memory,T8ATetramerStainMem_M3S_NTW_014.fcs,73.2,94.5,86.5,48.9,36.9,18.0441,7.10E+06,0.24,1.71E+04,0.61,4.33E+04,1.06,7.53E+04,0,0.00E+00,0,0.00E+00,0.1,7.10E+03,0.15,1.07E+04,0.81,5.75E+04,0.14,9.95E+03,0.46,3.27E+04
70,4.90E+07,Lungs,WT Challenge,Tetramer_Stains_M1_L_NTW_012.fcs,70.7,88.5,78.6,96.2,9.38,9.02356,2.17E+06,0.24,5.22E+03,26.7,5.81E+05,27.6,6.00E+05,0.18,3.91E+03,0,0.00E+00,0,0.00E+00,25.6,5.57E+05,1.77,3.85E+04,0.061,1.33E+03,0.92,2.00E+04
70,1.17E+06,BAL ,WT Challenge,Tetramer_Stains_M2_BAL_NTW_016.fcs,61.7,97.9,65.3,95.3,0.16,0.15248,7.04E+02,0,0.00E+00,50,3.52E+02,30,2.11E+02,0,0.00E+00,0,0.00E+00,0,0.00E+00,30,2.11E+02,0,0.00E+00,0,0.00E+00,20,1.41E+02
72,3.96E+07,Lungs,WT Challenge,Tetramer_Stains_M2_L_NTW_013.fcs,62.9,86.7,81.3,91.8,6.67,6.12306,1.08E+06,0.27,2.90E+03,41.5,4.46E+05,30,3.23E+05,0.053,5.70E+02,0,0.00E+00,0,0.00E+00,29.2,3.14E+05,0.74,7.96E+03,0.21,2.26E+03,12.2,1.31E+05
76,3.50E+07,Lungs,WT Challenge,Tetramer_Stains_M3_L_NTW_014.fcs,59.4,86.2,78,97.9,6.79,6.64741,9.29E+05,0.14,1.30E+03,15,1.39E+05,12.3,1.14E+05,0.047,4.37E+02,0,0.00E+00,0.047,4.37E+02,8.56,7.95E+04,3.67,3.41E+04,0.047,4.37E+02,6.35,5.90E+04
77,2.48E+07,Lungs,WT Challenge,Tetramer_Stains_M4_L_NTW_015.fcs,51.8,96,84.8,95.1,16.3,15.5013,1.62E+06,0.046,7.46E+02,28.6,4.64E+05,23.4,3.79E+05,0.027,4.38E+02,0,0.00E+00,0,0.00E+00,22.8,3.70E+05,0.58,9.40E+03,0.018,2.92E+02,5.73,9.29E+04
70,4.66E+07,Spleen ,WT Challenge,Tetramer_Stains_M1_S_NTW_017.fcs,82.5,76.1,98.1,59.8,14,8.372,2.40E+06,0.068,1.63E+03,19.9,4.78E+05,20,4.81E+05,0.068,1.63E+03,0,0.00E+00,0,0.00E+00,19,4.57E+05,0.91,2.19E+04,0,0.00E+00,0.75,1.80E+04
72,5.01E+07,Spleen ,WT Challenge,Tetramer_Stains_M2_S_NTW_018.fcs,80.7,79.9,97.9,59.5,17.4,10.353,3.27E+06,0,0.00E+00,28.3,9.27E+05,20.3,6.65E+05,0,0.00E+00,0,0.00E+00,0,0.00E+00,19.9,6.52E+05,0.41,1.34E+04,0,0.00E+00,8.36,2.74E+05
76,6.68E+07,Spleen ,WT Challenge,Tetramer_Stains_M3_S_NTW_019.fcs,81.9,82.4,97.8,53.7,21.7,11.6529,5.14E+06,0,0.00E+00,11.1,5.70E+05,8.93,4.59E+05,0,0.00E+00,0,0.00E+00,0,0.00E+00,6.74,3.46E+05,2.19,1.13E+05,0,0.00E+00,4.35,2.23E+05
77,8.14E+07,Spleen ,WT Challenge,Tetramer_Stains_M4_S_NTW_020.fcs,83.4,82.3,98,53.3,27,14.391,7.88E+06,0.033,2.60E+03,27.4,2.16E+06,23.5,1.85E+06,0.017,1.34E+03,0,0.00E+00,0.017,1.34E+03,22.5,1.77E+06,0.97,7.64E+04,0,0.00E+00,4.86,3.83E+05
1842,4.32E+07,Lungs,T8A Challenge,Tetramer Stains_M1_L_NTW_012.fcs,20.2,98,91.7,86.4,10.5,9.072,7.11E+05,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00
1882,1.94E+06,BAL,T8A Challenge,Tetramer Stains_M2_BAL_NTW_017.fcs,29,95.1,71.9,83.2,0.59,0.49088,1.89E+03,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00
1882,1.07E+07,Lungs,T8A Challenge,Tetramer Stains_M2_L_NTW_013.fcs,59.8,90.4,82.7,73.3,25.2,18.4716,8.84E+05,5.53,4.89E+04,13.3,1.18E+05,4.5,3.98E+04,0.25,2.21E+03,0.44,3.89E+03,0.099,8.75E+02,3.85,3.40E+04,0.3,2.65E+03,4.74,4.19E+04,8.75,7.73E+04
1902,3.99E+07,Lungs,T8A Challenge,Tetramer Stains_M3_L_NTW_014.fcs,71,93.6,90,89.5,6.59,5.89805,1.41E+06,31.3,4.41E+05,37.7,5.31E+05,1.83,2.58E+04,0.69,9.71E+03,11.7,1.65E+05,0,0.00E+00,1.14,1.60E+04,0,0.00E+00,18.9,2.66E+05,24.1,3.39E+05
1916,3.26E+07,Lungs,T8A Challenge,Tetramer Stains_M4_L_NTW_015.fcs,67.3,93,87.6,90.2,6.15,5.5473,9.92E+05,22,2.18E+05,31.9,3.16E+05,2.32,2.30E+04,0.56,5.55E+03,8.08,8.01E+04,0,0.00E+00,1.76,1.75E+04,0,0.00E+00,13.4,1.33E+05,21.5,2.13E+05
1924,5.70E+05,BAL,T8A Challenge,Tetramer Stains_M5_BAL_NTW_018.fcs,62.5,97.5,81.5,87.7,0.085,0.074545,2.11E+02,33.3,7.03E+01,66.7,1.41E+02,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,33.3,7.03E+01,66.7,1.41E+02
1924,5.31E+07,Lungs,T8A Challenge,Tetramer Stains_M5_L_NTW_016.fcs,63.7,93.6,88.2,90.9,3.47,3.15423,8.81E+05,22.4,1.97E+05,32.4,2.85E+05,1.59,1.40E+04,0.48,4.23E+03,9.22,8.12E+04,0,0.00E+00,1.11,9.78E+03,0,0.00E+00,12.7,1.12E+05,21.6,1.90E+05
177,5.20E+05,BAL,N3A Challenge,NTW_BAL_NTW_M3_017.fcs,70.2,90.4,70.6,90.2,8.12,7.32424,1.71E+04,0.29,4.95E+01,0.24,4.10E+01,0.37,6.31E+01,0.027,4.61E+00,0,0.00E+00,0.24,4.10E+01,0.027,4.61E+00,0.08,1.37E+01,0.19,3.24E+01,0.027,4.61E+00
179,1.70E+05,BAL,N3A Challenge,NTW_BAL_NTW_M5_018.fcs,62.9,89.7,65.2,88.5,10.1,8.9385,5.59E+03,0.38,2.12E+01,0.085,4.75E+00,0.34,1.90E+01,0,0.00E+00,0,0.00E+00,0.17,9.50E+00,0.042,2.35E+00,0.13,7.27E+00,0.042,2.35E+00,0.21,1.17E+01
175,3.44E+07,Lungs,N3A Challenge,NTW_L_NTW_M1_012.fcs,58.5,89.4,59.9,87,14.9,12.963,1.40E+06,0.24,3.35E+03,0.24,3.35E+03,0.12,1.68E+03,0,0.00E+00,0,0.00E+00,0.079,1.10E+03,0,0.00E+00,0.039,5.45E+02,0.24,3.35E+03,0.16,2.24E+03
176,4.12E+07,Lungs,N3A Challenge,NTW_L_NTW_M2_013.fcs,60.1,91,69.7,90.2,8.06,7.27012,1.14E+06,0.39,4.45E+03,0.78,8.91E+03,0.55,6.28E+03,0.27,3.08E+03,0.021,2.40E+02,0,0.00E+00,0.12,1.37E+03,0.16,1.83E+03,0.37,4.22E+03,0.1,1.14E+03
177,5.90E+07,Lungs,N3A Challenge,NTW_L_NTW_M3_014.fcs,49.3,87,64.9,68.9,13.2,9.0948,1.49E+06,0.27,4.03E+03,1.29,1.93E+04,0.27,4.03E+03,0,0.00E+00,0,0.00E+00,0.25,3.73E+03,0,0.00E+00,0.027,4.03E+02,1.29,1.93E+04,0.027,4.03E+02
178,4.05E+07,Lungs,N3A Challenge,NTW_L_NTW_M4_015.fcs,49,88.1,59.8,88.5,13.8,12.213,1.28E+06,0.13,1.66E+03,1.4,1.79E+04,1.15,1.47E+04,0.047,6.01E+02,0,0.00E+00,0.031,3.96E+02,0.85,1.09E+04,0.22,2.81E+03,0.5,6.39E+03,0.047,6.01E+02
179,2.53E+07,Lungs,N3A Challenge,NTW_L_NTW_M5_016.fcs,70.7,90.6,70.2,89.9,8.33,7.48867,8.52E+05,0.38,3.24E+03,0.38,3.24E+03,0.38,3.24E+03,0,0.00E+00,0,0.00E+00,0.3,2.56E+03,0.042,3.58E+02,0.042,3.58E+02,0.34,2.90E+03,0.085,7.24E+02
175,8.79E+07,Spleen ,N3A Challenge,NTW_S_NTW_M1_019.fcs,84.6,96.5,88.7,50.8,31.2,15.8496,1.01E+07,0.39,3.93E+04,0.44,4.44E+04,0.29,2.93E+04,0.04,4.03E+03,0,0.00E+00,0.07,7.06E+03,0.06,6.05E+03,0.12,1.21E+04,0.34,3.43E+04,0.28,2.82E+04
176,1.05E+08,Spleen ,N3A Challenge,NTW_S_NTW_M2_020.fcs,82.3,95.6,89.5,42.6,26.2,11.1612,8.26E+06,0.32,2.64E+04,1.14,9.42E+04,0.79,6.53E+04,0.19,1.57E+04,0,0.00E+00,0.046,3.80E+03,0.35,2.89E+04,0.2,1.65E+04,0.6,4.96E+04,0.093,7.68E+03
177,5.90E+07,Spleen ,N3A Challenge,NTW_S_NTW_M3_021.fcs,84.7,96.3,90.4,50.1,27.2,13.6272,5.92E+06,0.3,1.78E+04,1.09,6.46E+04,0.4,2.37E+04,7.91E-03,4.69E+02,0,0.00E+00,0.23,1.36E+04,0.12,7.11E+03,0.04,2.37E+03,0.96,5.69E+04,0.063,3.73E+03
178,7.48E+07,Spleen ,N3A Challenge,NTW_S_NTW_M4_022.fcs,85.2,96.6,89.4,51,24.1,12.291,6.76E+06,0.15,1.01E+04,0.89,6.02E+04,1.07,7.23E+04,0,0.00E+00,0,0.00E+00,0.059,3.99E+03,0.36,2.43E+04,0.65,4.39E+04,0.53,3.58E+04,0.089,6.02E+03
179,7.96E+07,Spleen ,N3A Challenge,NTW_S_NTW_M5_023.fcs,87.2,96.4,88.2,43.6,20.6,8.9816,5.30E+06,0.43,2.28E+04,0.37,1.96E+04,0.48,2.55E+04,0,0.00E+00,0,0.00E+00,0.37,1.96E+04,0.053,2.81E+03,0.053,2.81E+03,0.32,1.70E+04,0.053,2.81E+03
182,7.78E+06,BAL,M6V Challenge,NTW_NTW_BAL_M_001_016.fcs,96,88.7,86.7,74.6,0.41,0.30586,1.76E+04,0.86,1.51E+02,2.59,4.55E+02,1.72,3.02E+02,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,1.72,3.02E+02,0.86,1.51E+02,2.59,4.55E+02
187,1.32E+06,BAL,M6V Challenge,NTW_NTW_BAL_M_003_017.fcs,57.1,72.9,69.2,56.5,8.42,4.7573,1.81E+04,0.2,3.62E+01,9.39,1.70E+03,3.33,6.02E+02,0,0.00E+00,0,0.00E+00,0,0.00E+00,2.74,4.96E+02,0.59,1.07E+02,0.2,3.62E+01,6.65,1.20E+03
182,1.84E+06,Lungs,M6V Challenge,NTW_NTW_L_M_001_012.fcs,64.5,83.5,75.9,90.3,9.36,8.45208,6.37E+04,2.12,1.35E+03,0.27,1.72E+02,0.82,5.22E+02,0,0.00E+00,0.03,1.91E+01,0.091,5.79E+01,0.03,1.91E+01,0.7,4.46E+02,2,1.27E+03,0.21,1.34E+02
184,2.22E+06,Lungs,M6V Challenge,NTW_NTW_L_M_002_013.fcs,62.7,83.9,77.9,90.9,14.3,12.9987,1.18E+05,1.73,2.05E+03,1.06,1.25E+03,0.63,7.45E+02,0.018,2.13E+01,0.036,4.26E+01,0.018,2.13E+01,0.47,5.56E+02,0.13,1.54E+02,1.65,1.95E+03,0.54,6.39E+02
187,1.97E+07,Lungs,M6V Challenge,NTW_NTW_L_M_003_014.fcs,52.8,79.9,67.4,90.6,15.3,13.8618,7.76E+05,3.79,2.94E+04,17.3,1.34E+05,11.9,9.24E+04,0.37,2.87E+03,0.18,1.40E+03,0,0.00E+00,11.2,8.70E+04,0.34,2.64E+03,3.24,2.52E+04,5.52,4.29E+04
193,1.48E+07,Lungs,M6V Challenge,NTW_NTW_L_M_004_015.fcs,54.8,77.5,61.7,86.7,17.7,15.3459,5.95E+05,4.6,2.74E+04,4.5,2.68E+04,4.4,2.62E+04,0.21,1.25E+03,0.078,4.64E+02,0.026,1.55E+02,3.67,2.18E+04,0.49,2.92E+03,4.29,2.55E+04,0.54,3.21E+03
182,4.76E+07,Spleen ,M6V Challenge,NTW_NTW_S_M_001_018.fcs,80.3,91.4,88.7,52,26,13.52,4.19E+06,2.18,9.13E+04,0.22,9.22E+03,1.02,4.27E+04,0,0.00E+00,0.027,1.13E+03,0.054,2.26E+03,0.027,1.13E+03,0.94,3.94E+04,2.1,8.80E+04,0.16,6.70E+03
184,6.91E+07,Spleen ,M6V Challenge,NTW_NTW_S_M_002_019.fcs,87.3,92.5,90.4,52,36.1,18.772,9.47E+06,0.42,3.98E+04,0.6,5.68E+04,0.38,3.60E+04,0,0.00E+00,0,0.00E+00,0.036,3.41E+03,0.15,1.42E+04,0.2,1.89E+04,0.38,3.60E+04,0.46,4.36E+04
187,5.33E+07,Spleen ,M6V Challenge,NTW_NTW_S_M_003_020.fcs,85.6,93.3,88.4,54.2,37.4,20.2708,7.62E+06,0.91,6.94E+04,15.8,1.20E+06,13,9.91E+05,0.12,9.15E+03,0,0.00E+00,0.016,1.22E+03,12.6,9.60E+05,0.3,2.29E+04,0.77,5.87E+04,3.13,2.39E+05
193,6.09E+07,Spleen ,M6V Challenge,NTW_NTW_S_M_004_021.fcs,85.6,93.7,85.4,54.4,34.1,18.5504,7.74E+06,2.94,2.28E+05,5.67,4.39E+05,5.13,3.97E+05,0.099,7.67E+03,0.02,1.55E+03,0.06,4.65E+03,4.3,3.33E+05,0.68,5.27E+04,2.76,2.14E+05,1.25,9.68E+04
190,8.39E+06,BAL,M6I Challenge,NTW_NTW_B_M_001_015.fcs,80.2,92.1,95.2,72.8,1.99,1.44872,8.55E+04,0.63,5.38E+02,4.76,4.07E+03,5.08,4.34E+03,0,0.00E+00,0,0.00E+00,0.32,2.74E+02,4.76,4.07E+03,0,0.00E+00,0.32,2.74E+02,0,0.00E+00
190,3.96E+07,Lungs,M6I Challenge,NTW_NTW_L_M_001_012.fcs,43.8,87.8,89.8,92.8,8.79,8.15712,1.12E+06,6.01,6.70E+04,9.15,1.02E+05,9.44,1.05E+05,0.44,4.91E+03,0,0.00E+00,0.15,1.67E+03,8.64,9.64E+04,0.22,2.45E+03,5.43,6.06E+04,0.073,8.14E+02
191,2.12E+07,Lungs,M6I Challenge,NTW_NTW_L_M_002_013.fcs,41.4,86.6,88.7,90.6,10.5,9.513,6.42E+05,5.06,3.25E+04,2.5,1.60E+04,2.16,1.39E+04,1.36,8.73E+03,0.052,3.34E+02,0,0.00E+00,0.81,5.20E+03,0,0.00E+00,3.65,2.34E+04,0.29,1.86E+03
192,2.65E+07,Lungs,M6I Challenge,NTW_NTW_L_M_003_014.fcs,55.9,90.6,87.3,94.1,8.93,8.40313,9.85E+05,2.36,2.32E+04,0.3,2.95E+03,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,2.36,2.32E+04,0.3,2.95E+03
190,6.27E+07,Spleen ,M6I Challenge,NTW_NTW_S_M_001_016.fcs,66.9,93.4,94.8,42.2,37,15.614,5.80E+06,0.33,1.91E+04,7.11,4.12E+05,7.21,4.18E+05,0.062,3.60E+03,0,0.00E+00,0.083,4.81E+03,6.9,4.00E+05,0.17,9.86E+03,0.19,1.10E+04,0.14,8.12E+03
191,4.92E+07,Spleen ,M6I Challenge,NTW_NTW_S_M_002_017.fcs,57.8,92.6,95,44.8,36.3,16.2624,4.07E+06,1.39,5.66E+04,2.39,9.73E+04,1.96,7.98E+04,1.02,4.15E+04,0,0.00E+00,0,0.00E+00,0.95,3.87E+04,0,0.00E+00,0.38,1.55E+04,0.43,1.75E+04
192,4.41E+07,Spleen ,M6I Challenge,NTW_NTW_S_M_003_018.fcs,65.6,93.4,96.1,36.8,43.3,15.9344,4.13E+06,0.24,9.92E+03,0.48,1.98E+04,0.068,2.81E+03,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.068,2.81E+03,0,0.00E+00,0.24,9.92E+03,0.41,1.69E+04
1842,9.81E+07,Spleen ,T8A Challenge,Tetramer Stains_M1_S_NTW_019.fcs,69,92.5,95.6,60.5,62.5,37.8125,2.26E+07,0.48,1.09E+05,31.2,7.06E+06,0.53,1.20E+05,0.053,1.20E+04,0.4,9.05E+04,0,0.00E+00,0.45,1.02E+05,0.027,6.11E+03,0.027,6.11E+03,30.3,6.86E+06
1882,7.89E+07,Spleen ,T8A Challenge,Tetramer Stains_M2_S_NTW_020.fcs,81.9,92.1,97.1,46.5,42.1,19.5765,1.13E+07,0.081,9.16E+03,8.33,9.42E+05,3.13,3.54E+05,0,0.00E+00,0,0.00E+00,0,0.00E+00,2.97,3.36E+05,0.16,1.81E+04,0.081,9.16E+03,5.36,6.06E+05
1902,7.56E+07,Spleen ,T8A Challenge,Tetramer Stains_M3_S_NTW_021.fcs,76.6,92.2,95.9,50,48.4,24.2,1.24E+07,0.051,6.32E+03,29.3,3.63E+06,0.85,1.05E+05,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.8,9.91E+04,0.051,6.32E+03,0.051,6.32E+03,28.6,3.54E+06
1916,7.14E+07,Spleen ,T8A Challenge,Tetramer Stains_M4_S_NTW_022.fcs,77.3,89.2,96.4,46.4,39.1,18.1424,8.61E+06,0.22,1.89E+04,16.9,1.46E+06,1.02,8.78E+04,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.96,8.27E+04,0.062,5.34E+03,0.22,1.89E+04,15.9,1.37E+06
1924,1.31E+08,Spleen ,T8A Challenge,Tetramer Stains_M5_S_NTW_023.fcs,70.8,92.2,88.9,58.4,46.1,26.9224,2.05E+07,0,0.00E+00,26.5,5.42E+06,0.96,1.96E+05,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.86,1.76E+05,0.11,2.25E+04,0,0.00E+00,25.6,5.24E+06
