Mouse ,Cell Count ,Tissue,T8A Primary,Sample:,Lymphocytes,Singlets,Live Cells,F480 B220 neg,CD8n_Freq,CD8n_Norm_Freq,CD8n_Num,CD8n_M6ITotal_Freq,CD8n_M6ITotal_Num,CD8n_M6VTotal_Freq,CD8n_M6VTotal_Num,CD8n_WTTotal_Freq,CD8n_WTTotal_Num,CD8n_TriplePos_Freq,CD8n_TriplePos_Num,CD8n_M6IM6VDP_Freq,CD8n_M6IM6VDP_Num,CD8n_WTM6IDP_Freq ,CD8n_WTM6IDP_Num,CD8n_WTM6IDP_Num,CD8n_WTM6VDP_Freq,CD8n_WTSP_Freq,CD8n_WTSP_Freq,CD8n_M6ISP_Freq,CD8n_M6ISP_Num,CD8n_M6VSP_Freq,CD8n_M6VSP_Num,,,,,,,,,,,,,,,,,,,,,
1916,3.26E+07,Lungs,T8A Challenge,Tetramer Stains_M4_L_MMW_027.fcs,72.9,94.7,89.4,90.7,93.5,84.8045,1.71E+07,17.6,3.00E+06,0.13,2.22E+04,13.4,2.29E+06,0,0.00E+00,0,0.00E+00,2.16,3.69E+05,0.13,2.22E+04,11.1,1.89E+06,15.5,2.64E+06,0,0.00E+00,,,,,,,,,,,,,,,,,,,,,
1924,5.70E+05,BAL,T8A Challenge,Tetramer Stains_M5_BAL_MMW_030.fcs,61.4,98,83.5,90.9,99.9,90.8091,2.60E+05,0.19,4.94E+02,0.076,1.98E+02,10.5,2.73E+04,0,0.00E+00,0.038,9.88E+01,0.038,9.88E+01,0,0.00E+00,10.5,2.73E+04,0.11,2.86E+02,0.038,9.88E+01,,,,,,,,,,,,,,,,,,,,,
1924,5.31E+07,Lungs,T8A Challenge,Tetramer Stains_M5_L_MMW_028.fcs,66.2,95.1,89.4,92.3,96.3,88.8849,2.66E+07,21.7,5.76E+06,0.15,3.98E+04,12.2,3.24E+06,0.032,8.50E+03,3.59E-03,9.54E+02,3.13,8.31E+05,0.09,2.39E+04,8.94,2.37E+06,18.5,4.91E+06,0.022,5.84E+03,,,,,,,,,,,,,,,,,,,,,
177,5.20E+05,BAL,N3A Challenge,MMW_BAL_MMW_M_003_029.fcs,64.4,89.9,71.3,95.5,87.3,83.3715,1.79E+05,0.27,4.83E+02,0.085,1.52E+02,0.78,1.40E+03,0,0.00E+00,0,0.00E+00,5.65E-03,1.01E+01,5.65E-03,1.01E+01,0.77,1.38E+03,0.27,4.83E+02,0.079,1.41E+02,,,,,,,,,,,,,,,,,,,,,
179,1.70E+05,BAL,N3A Challenge,MMW_BAL_MMW_M_005_030.fcs,37.3,94.4,45.1,89,86.5,76.985,2.08E+04,2.84,5.90E+02,0.092,1.91E+01,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,2.84,5.90E+02,0.092,1.91E+01,,,,,,,,,,,,,,,,,,,,,
175,3.44E+07,Lungs,N3A Challenge,MMW_L_MMW_M_001_024.fcs,60.4,89.7,62.3,87.9,82.6,72.6054,8.43E+06,1.17,9.86E+04,0.35,2.95E+04,0.35,2.95E+04,2.27E-03,1.91E+02,9.10E-03,7.67E+02,0.011,9.27E+02,0.11,9.27E+03,0.22,1.85E+04,1.15,9.69E+04,0.23,1.94E+04,,,,,,,,,,,,,,,,,,,,,
176,4.12E+07,Lungs,N3A Challenge,MMW_L_MMW_M_002_025.fcs,60.8,89.1,70.9,90.6,90.1,81.6306,1.29E+07,3.98,5.14E+05,0.13,1.68E+04,0.24,3.10E+04,1.77E-03,2.29E+02,0.014,1.81E+03,0.018,2.33E+03,0.012,1.55E+03,0.21,2.71E+04,3.95,5.10E+05,0.1,1.29E+04,,,,,,,,,,,,,,,,,,,,,
177,5.90E+07,Lungs,N3A Challenge,MMW_L_MMW_M_003_026.fcs,49.3,84.8,62.4,70.8,81.7,57.8436,8.90E+06,6.35,5.65E+05,0.35,3.11E+04,0.7,6.23E+04,4.57E-03,4.07E+02,0.018,1.60E+03,0.059,5.25E+03,0.018,1.60E+03,0.62,5.52E+04,6.27,5.58E+05,0.31,2.76E+04,,,,,,,,,,,,,,,,,,,,,
178,4.05E+07,Lungs,N3A Challenge,MMW_L_MMW_M_004_027.fcs,49.1,89.1,60.6,88.9,84.6,75.2094,8.08E+06,3.81,3.08E+05,0.42,3.39E+04,1.32,1.07E+05,0.33,2.67E+04,7.48E-03,6.04E+02,0.067,5.41E+03,0.012,9.70E+02,0.9,7.27E+04,3.4,2.75E+05,0.065,5.25E+03,,,,,,,,,,,,,,,,,,,,,
179,2.53E+07,Lungs,N3A Challenge,MMW_L_MMW_M_005_028.fcs,71.9,90.2,71.5,89.7,88,78.936,9.26E+06,1.53,1.42E+05,0.072,6.67E+03,0.19,1.76E+04,5.82E-03,5.39E+02,0,0.00E+00,0,0.00E+00,0.014,1.30E+03,0.17,1.57E+04,1.53,1.42E+05,0.052,4.82E+03,,,,,,,,,,,,,,,,,,,,,
175,8.79E+07,Spleen ,N3A Challenge,MMW_S_MMW_M_001_031.fcs,85,96.5,90,50.7,38.1,19.3167,1.25E+07,0.91,1.14E+05,0.055,6.89E+03,1.01,1.27E+05,0,0.00E+00,0,0.00E+00,0.2,2.51E+04,0,0.00E+00,0.81,1.02E+05,0.71,8.90E+04,0.055,6.89E+03,,,,,,,,,,,,,,,,,,,,,
176,1.05E+08,Spleen ,N3A Challenge,MMW_S_MMW_M_002_032.fcs,81.3,95.4,89.1,42.4,41.6,17.6384,1.28E+07,0.42,5.38E+04,0.046,5.89E+03,0.62,7.94E+04,0,0.00E+00,0,0.00E+00,0.14,1.79E+04,0,0.00E+00,0.48,6.15E+04,0.28,3.59E+04,0.046,5.89E+03,,,,,,,,,,,,,,,,,,,,,
177,5.90E+07,Spleen ,N3A Challenge,MMW_S_MMW_M_003_033.fcs,83.8,95.7,90,49.8,42.7,21.2646,9.05E+06,0.013,1.18E+03,0.11,9.95E+03,0.94,8.50E+04,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.013,1.18E+03,0.93,8.41E+04,0.013,1.18E+03,0.1,9.05E+03,,,,,,,,,,,,,,,,,,,,,
178,7.48E+07,Spleen ,N3A Challenge,MMW_S_MMW_M_004_034.fcs,83.4,95.1,89.1,53.1,37.9,20.1249,1.06E+07,0.12,1.28E+04,0.13,1.38E+04,0.76,8.08E+04,0.067,7.12E+03,0,0.00E+00,0.013,1.38E+03,0,0.00E+00,0.68,7.23E+04,0.04,4.25E+03,0.067,7.12E+03,,,,,,,,,,,,,,,,,,,,,
179,7.96E+07,Spleen ,N3A Challenge,MMW_S_MMW_M_005_035.fcs,86.1,95.3,88.3,43.6,51.3,22.3668,1.29E+07,0.48,6.19E+04,0.27,3.48E+04,0.55,7.10E+04,0.032,4.13E+03,0,0.00E+00,0.17,2.19E+04,0,0.00E+00,0.35,4.52E+04,0.27,3.48E+04,0.24,3.10E+04,,,,,,,,,,,,,,,,,,,,,
182,7.78E+06,BAL,M6V Challenge,MMW_MMW_BAL_M_001_026.fcs,92.8,87.7,87.3,75,98.5,73.875,4.08E+06,0.12,4.90E+03,1.14,4.66E+04,0.25,1.02E+04,0.021,8.58E+02,0.064,2.61E+03,0,0.00E+00,0.089,3.63E+03,0.14,5.72E+03,0.039,1.59E+03,0.96,3.92E+04,,,,,,,,,,,,,,,,,,,,,
187,1.32E+06,BAL,M6V Challenge,MMW_MMW_BAL_M_003_027.fcs,69.6,86.4,75.5,68.3,95.9,65.4997,3.93E+05,0.19,7.46E+02,1.89,7.42E+03,0.93,3.65E+03,0.037,1.45E+02,0.062,2.43E+02,6.18E-03,2.43E+01,0.65,2.55E+03,0.23,9.03E+02,0.08,3.14E+02,1.14,4.47E+03,,,,,,,,,,,,,,,,,,,,,
