Experiment,Cells
WT,620790.0
WT,101320.0
WT,36480.0
WT,22889.0
T8A,580910.0
T8A,445570.0
T8A,138937.0
T8A,463338.0
N3A,29680.0
N3A,33013.0
N3A,416540.0
