Experiment,Cells
WT,4874.0
WT,2246.0
WT,8900.0
WT,1915.0
WT,3264.0
T8A,0.0
T8A,0.0
T8A,0.0
T8A,68700.0
T8A,175000.0
N3A,22560.0
N3A,68530.0
N3A,20800.0
