Experiment,Cells
WT,18630.0
WT,5075.0
WT,31677.0
WT,2567.0
WT,28300.0
T8A,0.0
T8A,0.0
T8A,0.0
T8A,0.0
T8A,0.0
N3A,50200.0
N3A,61840.0
N3A,60000.0
