Experiment,Cells
WT,3540.0
WT,0.0
WT,0.0
WT,469.0
WT,0.0
WT,6530.0
WT,16400.0
WT,37200.0
WT,21440.0
T8A,41800.0
T8A,52300.0
T8A,30880.0
T8A,13160.0
T8A,104400.0
T8A,4420.0
T8A,43400.0
N3A,6460.0
N3A,6030.0
N3A,0.0
