Experiment,Cells
WT,528250.0
WT,192760.0
WT,1425740.0
WT,100660.0
WT,591410.0
WT,279400.0
T8A,120110.0
T8A,354100.0
T8A,105420.0
T8A,88040.0
T8A,198500.0
N3A,39067.0
N3A,20500.0
N3A,235200.0
N3A,144130.0
