Experiment,Cells
WT,151620.0
WT,39160.0
WT,39822.0
WT,8674.0
WT,0.0
WT,111500.0
WT,263110.0
WT,130900.0
WT,221800.0
T8A,39310.0
T8A,92400.0
T8A,40600.0
T8A,28710.0
T8A,216300.0
T8A,422520.0
T8A,113120.0
N3A,27050.0
N3A,38190.0
N3A,45760.0
