Experiment,Cells
WT,7040.0
WT,1360.0
WT,1680.0
WT,936.0
WT,0.0
WT,47500.0
WT,73900.0
WT,90940.0
WT,32800.0
T8A,33910.0
T8A,83100.0
T8A,68600.0
T8A,23810.0
T8A,73900.0
T8A,83520.0
T8A,31370.0
N3A,8960.0
N3A,0.0
N3A,0.0
