Experiment,Cells
WT,56437.0
WT,96241.0
WT,85715.0
WT,45521.0
WT,32310.0
T8A,12800.0
T8A,104400.0
T8A,14274.0
T8A,10900.0
T8A,12220.0
T8A,36171.0
T8A,125740.0
T8A,10989.0
N3A,78790.0
N3A,92220.0
N3A,29594.0
