Experiment,Cells
WT,1229370.0
WT,0.0
WT,219000.0
T8A,38280.0
T8A,52280.0
T8A,11309.0
T8A,30320.0
T8A,5620.0
N3A,394420.0
N3A,1190.0
N3A,117100.0
