Experiment,Cells
WT,17620.0
WT,1360.0
WT,5052.0
WT,1404.0
WT,0.0
WT,0.0
WT,8210.0
WT,0.0
WT,10800.0
T8A,0.0
T8A,0.0
T8A,0.0
T8A,2610.0
T8A,37500.0
T8A,72620.0
T8A,12300.0
N3A,32080.0
N3A,12580.0
N3A,109900.0
