Experiment,Cells
WT,26540.0
WT,23585.0
WT,72360.0
WT,7275.0
WT,53000.0
T8A,1840000.0
T8A,1648000.0
T8A,518000.0
T8A,825000.0
T8A,117000.0
N3A,14200.0
N3A,117820.0
N3A,42000.0
