Experiment,Cells
WT,1680.0
WT,1540.0
WT,4141.0
WT,6413.0
T8A,1163.0
T8A,6310.0
T8A,1770.0
T8A,6680.0
N3A,8090.0
N3A,0.0
N3A,2600.0
