Experiment,Cells
WT,21980.0
WT,30520.0
WT,43300.0
WT,29240.0
WT,32590.0
T8A,2550.0
T8A,92980.0
T8A,7620.0
T8A,0.0
T8A,2040.0
T8A,49187.0
T8A,74993.0
T8A,3564.0
N3A,28670.0
N3A,36260.0
N3A,17487.0
