Experiment,Cells
WT,1203.0
WT,2984.0
WT,5977.0
WT,4352.0
WT,2440.0
T8A,0.0
T8A,1290.0
T8A,58981.0
T8A,0.0
T8A,2020.0
T8A,780.0
T8A,7589.0
T8A,2348.0
N3A,1347600.0
N3A,160100.0
N3A,947670.0
