Experiment,Cells
WT,974540.0
WT,242720.0
WT,44180.0
WT,132760.0
T8A,599410.0
T8A,322530.0
T8A,114474.0
T8A,379838.0
N3A,442950.0
N3A,299380.0
N3A,491500.0
