"","Experiment.diff","Experiment.lwr","Experiment.upr","Experiment.p.adj"
"WT-T8A",143.000000000003,-25504.4773198364,25790.4773198364,0.999860070014204
"N3A-T8A",35686.9166666667,7984.47498697393,63389.3583463594,0.0152383491020951
"N3A-WT",35543.9166666667,7841.47498697393,63246.3583463594,0.0155575168900921
