"","Experiment.diff","Experiment.lwr","Experiment.upr","Experiment.p.adj"
"WT-N3A",119250.833333333,-119802.064594752,358303.731261419,0.405898649138339
"T8A-N3A",197372.5,-51058.5589448127,445803.558944813,0.127400662516969
"T8A-WT",78121.6666666667,-146129.829308004,302373.162641338,0.63292156617603
