"","Experiment.diff","Experiment.lwr","Experiment.upr","Experiment.p.adj"
"WT-T8A",111976.133333333,-373523.733677359,597476.000344026,0.792687231881105
"N3A-T8A",290879.466666667,-194620.400344026,776379.333677359,0.258951364473727
"N3A-WT",178903.333333333,-363902.019518175,721708.686184841,0.630998495903958
