"","Experiment.diff","Experiment.lwr","Experiment.upr","Experiment.p.adj"
"T8A-WT",3321,-6584.45794613636,13226.4579461364,0.621565463111241
"N3A-WT",8943.58333333334,-1755.5340746489,19642.7007413156,0.0995869403439135
"N3A-T8A",5622.58333333333,-5076.53407464891,16321.7007413156,0.340147925055242
