"","Experiment.diff","Experiment.lwr","Experiment.upr","Experiment.p.adj"
"WT-T8A",1001.24999999999,-39733.7824946892,41736.2824946892,0.99728498805439
"N3A-T8A",51326.6666666667,7327.80284345015,95325.5304898832,0.024992177889716
"N3A-WT",50325.4166666667,6326.55284345016,94324.2804898832,0.0274505050587061
