"","Experiment.diff","Experiment.lwr","Experiment.upr","Experiment.p.adj"
"T8A-N3A",1644.41666666666,-48923.9519433795,52212.7852767128,0.995944889759434
"WT-N3A",4053.66666666666,-50495.4327923472,58602.7661256805,0.979032756825382
"WT-T8A",2409.25,-40173.1271169971,44991.6271169971,0.987782972569073
