"","Experiment.diff","Experiment.lwr","Experiment.upr","Experiment.p.adj"
"WT-T8A",22308.05,-37399.5574941332,82015.6574941332,0.5977993002331
"N3A-T8A",25931.25,-44974.0518879516,96836.5518879517,0.610305161473919
"N3A-WT",3623.2,-72863.7516492346,80110.1516492347,0.991417822141498
