"","Experiment.diff","Experiment.lwr","Experiment.upr","Experiment.p.adj"
"N3A-WT",30050.9166666668,-587771.896704507,647873.730037841,0.990766654856472
"T8A-WT",908688.666666667,329119.494543746,1488257.83878959,0.0033602089249779
"T8A-N3A",878637.75,236577.448299589,1520698.05170041,0.00862114210835851
