"","Experiment.diff","Experiment.lwr","Experiment.upr","Experiment.p.adj"
"WT-N3A",700418.333333333,-1940351.44128404,3341188.10795071,0.763699026303038
"T8A-N3A",3580135,835766.547562299,6324503.4524377,0.011703132880958
"T8A-WT",2879716.66666667,402455.032880528,5356978.30045281,0.0231213194166104
