"","Experiment.diff","Experiment.lwr","Experiment.upr","Experiment.p.adj"
"WT-N3A",25475.1111111111,-25368.9418089188,76319.164031141,0.419229252382276
"T8A-N3A",53900.4761904762,1271.88146423711,106529.070916715,0.0443236424273595
"T8A-WT",28425.3650793651,-10009.1262557797,66859.8564145098,0.168502663705412
