Mouse ,Cell Count ,Tissue,Condition ,Sample:,Lymphocytes,Singlets,Live Cells,F480 B220 neg,CD8n_Freq,CD8n_Norm_Freq,CD8n_Num,CD8n_M6ITotal_Freq,CD8n_M6ITotal_Num,CD8n_M6VTotal_Freq,CD8n_M6VTotal_Num,CD8n_WTTotal_Freq,CD8n_WTTotal_Num,CD8n_TriplePos_Freq,CD8n_TriplePos_Num,CD8n_M6IM6VDP_Freq,CD8n_M6IM6VDP_Num,CD8n_WTM6IDP_Freq ,CD8n_WTM6IDP_Num ,CD8n_WTM6VDP_Freq,CD8n_WTM6VDP_Num,CD8p_WTSP_Freq,CD8p_WTSP_Num,CD8n_M6ISP_Freq,CD8n_M6ISP_Num,CD8n_M6VSP_Freq,CD8n_M6VSP_Num
244,8.10E+07,Spleen,N3A Challenge WT Primed,Phenotype_Tetramer_MMW_P_M3S_MMW_037.fcs,80,91.4,92,47.1,50.5,23.7855,1.30E+07,0,0.00E+00,0,0.00E+00,1.31,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,0,0.00E+00,1.31,1.70E+05,0,0.00E+00,0,0.00E+00
245,2.19E+06,BAL ,M6V Challenged WT Primed ,Phenotype_Tetramer_MMW_M6V_Chal_M1_BAL_MMW_038.fcs,66.6,97.6,85.6,97.1,97.9,95.0609,1.16E+06,0.13,1.51E+03,4.99,9.79E+08,7.13,3.30E+07,0.015,6.93E+04,4.94E-03,2.28E+04,0.028,1.29E+05,4.7,2.17E+07,2.39,2.77E+04,0.082,9.50E+02,0.28,3.24E+03
245,4.31E+07,Lungs,M6V Challenged WT Primed ,Phenotype_Tetramer_MMW_M6V_Chal_M1_L_MMW_034.fcs,59.3,97,88.9,87.9,86.8,76.2972,1.68E+07,13.1,2.20E+06,1.21,4.54E+10,15.7,2.17E+15,0.32,4.43E+13,0.13,1.80E+13,6.18,8.56E+14,0.15,2.08E+13,9.07,1.53E+06,6.5,1.09E+06,0.6,1.01E+05
246,2.55E+07,Lungs,M6V Challenged WT Primed ,Phenotype_Tetramer_MMW_M6V_Chal_M2_L_MMW_035.fcs,58.9,96.1,85.2,92.7,88.6,82.1322,1.01E+07,8.02,8.10E+05,5.96,8.82E+10,8.07,9.83E+13,0.67,8.16E+12,0.053,6.45E+11,0.34,4.14E+12,4.99,6.08E+13,2.07,2.09E+05,6.96,7.03E+05,0.25,2.53E+04
247,2.97E+07,Lungs,M6V Challenged WT Primed ,Phenotype_Tetramer_MMW_M6V_Chal_M3_L_MMW_036.fcs,66.2,96.6,88.9,92.9,87.7,81.4733,1.38E+07,6.27,8.63E+05,2,4.82E+10,0.14,2.21E+12,0.012,1.89E+11,1.43,2.26E+13,0.034,5.37E+11,0.024,3.79E+11,0.066,9.08E+03,4.79,6.59E+05,0.53,7.29E+04
248,1.87E+06,BAL ,M6V Challenged WT Primed ,Phenotype_Tetramer_MMW_M6V_Chal_M4_BAL_MMW_039.fcs,60.9,96.6,87.9,84.4,96.5,81.446,7.88E+05,4.73,3.73E+04,0.57,4.89E+07,5.39,1.10E+10,0.38,7.75E+08,0,0.00E+00,4.23,8.63E+09,0.13,2.65E+08,0.65,5.12E+03,0.12,9.45E+02,0.055,4.33E+02
248,2.55E+07,Lungs,M6V Challenged WT Primed ,Phenotype_Tetramer_MMW_M6V_Chal_M4_L_MMW_037.fcs,53.4,95.5,82.2,94.4,91.5,86.376,9.23E+06,31.7,2.93E+06,0.5,7.22E+09,8.83,1.52E+15,0.27,4.66E+13,0.025,4.32E+12,7.79,1.34E+15,0.18,3.11E+13,0.6,5.54E+04,23.6,2.18E+06,0.027,2.49E+03
245,5.50E+07,Spleen,M6V Challenged WT Primed ,Phenotype_Tetramer_MMW_M6V_Chal_M1_S_MMW_040.fcs,69.2,94.5,94.8,54,94,50.76,1.73E+07,0.2,3.46E+04,0.47,1.09E+10,1.84,5.79E+10,5.75E-03,1.81E+08,0.017,5.35E+08,0.16,5.03E+09,0.012,3.77E+08,1.66,2.87E+05,0.012,2.08E+03,0.43,7.44E+04
246,3.57E+07,Spleen,M6V Challenged WT Primed ,Phenotype_Tetramer_MMW_M6V_Chal_M2_S_MMW_041.fcs,67.4,93.4,94,52.4,64.6,33.8504,7.15E+06,0.038,2.72E+03,0.87,2.39E+09,1.08,6.23E+07,0,0.00E+00,0,0.00E+00,0.019,1.10E+06,0.81,4.67E+07,0.25,1.79E+04,0.019,1.36E+03,0.067,4.79E+03
247,8.25E+07,Spleen,M6V Challenged WT Primed ,Phenotype_Tetramer_MMW_M6V_Chal_M3_S_MMW_042.fcs,76,95.7,94.5,49.5,53.4,26.433,1.50E+07,0.53,7.94E+04,2.6,2.12E+10,0.19,1.40E+10,0,0.00E+00,0.5,3.67E+10,0.031,2.28E+09,0.031,2.28E+09,0.12,1.80E+04,0,0.00E+00,2.07,3.10E+05
